epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,391.616,1.50423,1.24576,0.02356,0.93012,0.87647,0.94587,0.60251,1.27624,0.63387,0.02767,0.00119384,0.00119384,0.00119384
43,400.871,1.46441,1.20239,0.02345,0.94095,0.92132,0.96395,0.66505,1.16563,0.54339,0.0244,0.00119111,0.00119111,0.00119111
44,410.259,1.51446,1.16978,0.02382,0.92842,0.92408,0.95885,0.56434,1.47392,0.6329,0.03397,0.00118832,0.00118832,0.00118832
45,419.537,1.51192,1.17777,0.02454,0.90874,0.93213,0.96398,0.5508,1.57897,0.67526,0.03467,0.00118547,0.00118547,0.00118547
46,428.838,1.47287,1.21434,0.02386,0.89743,0.93204,0.95802,0.54309,1.59411,0.65741,0.03339,0.00118256,0.00118256,0.00118256
47,438.109,1.47446,1.15699,0.02305,0.91938,0.9017,0.9435,0.4549,1.84762,0.81662,0.0385,0.00117959,0.00117959,0.00117959
48,447.491,1.46948,1.14058,0.02392,0.97429,0.88789,0.97206,0.6584,1.21627,0.56081,0.02469,0.00117656,0.00117656,0.00117656
49,456.795,1.49444,1.15972,0.02358,0.94736,0.91167,0.97035,0.62687,1.32661,0.559,0.02745,0.00117346,0.00117346,0.00117346
50,466.109,1.46671,1.16263,0.02351,0.96892,0.899,0.97595,0.68672,1.10235,0.52073,0.02268,0.00117031,0.00117031,0.00117031
51,475.5,1.46301,1.18628,0.02309,0.92881,0.9002,0.94449,0.4144,2.04714,0.72924,0.04394,0.0011671,0.0011671,0.0011671
52,484.794,1.51247,1.17032,0.02256,0.93533,0.95246,0.98278,0.58106,1.48746,0.61404,0.03096,0.00116383,0.00116383,0.00116383
53,494.071,1.46113,1.15594,0.02316,0.94672,0.94345,0.97356,0.55517,1.5465,0.69997,0.03408,0.00116051,0.00116051,0.00116051
54,503.321,1.46758,1.19252,0.02265,0.94263,0.92651,0.9719,0.52604,1.72336,0.71567,0.03709,0.00115712,0.00115712,0.00115712
55,512.714,1.46076,1.1004,0.02266,0.94039,0.93652,0.97296,0.58139,1.5048,0.60512,0.0313,0.00115368,0.00115368,0.00115368
56,522.018,1.44667,1.11752,0.02335,0.92759,0.93371,0.97654,0.68839,1.12652,0.45171,0.02148,0.00115018,0.00115018,0.00115018
57,531.248,1.41688,1.09359,0.02129,0.93782,0.95987,0.97912,0.64115,1.31562,0.4742,0.02698,0.00114662,0.00114662,0.00114662
58,540.559,1.42756,1.1196,0.02276,0.90671,0.95475,0.9741,0.65472,1.20888,0.54895,0.02539,0.00114301,0.00114301,0.00114301
59,550.001,1.40996,1.06238,0.02192,0.92632,0.94404,0.96646,0.55443,1.51007,0.61706,0.03073,0.00113934,0.00113934,0.00113934
60,559.279,1.45806,1.08592,0.0228,0.93843,0.88266,0.95051,0.63596,1.14791,0.53429,0.02481,0.00113561,0.00113561,0.00113561
61,568.575,1.42863,1.11474,0.02168,0.93386,0.94199,0.97002,0.71114,0.97163,0.47565,0.01907,0.00113183,0.00113183,0.00113183
62,577.986,1.42946,1.14172,0.02274,0.94146,0.92659,0.96951,0.68598,1.06488,0.46746,0.02087,0.00112799,0.00112799,0.00112799
63,587.374,1.42281,1.1009,0.02241,0.96665,0.90717,0.97816,0.56104,1.55874,0.61821,0.03252,0.0011241,0.0011241,0.0011241
64,596.636,1.4113,1.05651,0.02308,0.93461,0.91811,0.95374,0.61204,1.24688,0.58274,0.02386,0.00112016,0.00112016,0.00112016
65,605.943,1.46665,1.10073,0.02278,0.94824,0.9368,0.97226,0.67738,1.09175,0.51186,0.01983,0.00111616,0.00111616,0.00111616
66,615.249,1.41893,1.0859,0.02179,0.94095,0.94195,0.97586,0.62147,1.32728,0.51801,0.02681,0.00111211,0.00111211,0.00111211
67,624.68,1.39712,1.07785,0.0219,0.9645,0.94104,0.97614,0.58303,1.51391,0.50531,0.03175,0.00110801,0.00110801,0.00110801
68,634.11,1.40964,1.06333,0.02182,0.93537,0.94546,0.97125,0.70595,0.94896,0.48217,0.01842,0.00110385,0.00110385,0.00110385
69,643.444,1.40449,1.02288,0.02206,0.93057,0.9324,0.96969,0.60918,1.33622,0.58637,0.02851,0.00109964,0.00109964,0.00109964
70,652.779,1.44355,1.0527,0.02232,0.96504,0.93873,0.98222,0.66925,1.14365,0.42444,0.02332,0.00109538,0.00109538,0.00109538
71,662.227,1.4236,1.0221,0.02234,0.91436,0.93457,0.95481,0.71628,0.97852,0.43255,0.01928,0.00109107,0.00109107,0.00109107
72,671.47,1.39807,1.02366,0.02075,0.96209,0.94204,0.97673,0.59951,1.41629,0.47933,0.02878,0.00108671,0.00108671,0.00108671
73,680.721,1.42284,1.02819,0.02223,0.95678,0.97339,0.9884,0.66219,1.20503,0.40888,0.02404,0.0010823,0.0010823,0.0010823
74,690.085,1.4054,1.03976,0.02156,0.95984,0.94402,0.97665,0.71708,0.94121,0.4531,0.01765,0.00107784,0.00107784,0.00107784
75,699.327,1.43508,1.06346,0.0216,0.96785,0.90966,0.97561,0.70504,0.94281,0.47342,0.01805,0.00107333,0.00107333,0.00107333
76,708.538,1.40921,1.05624,0.02203,0.95162,0.94652,0.97665,0.70501,1.07382,0.45161,0.02306,0.00106877,0.00106877,0.00106877
77,717.84,1.38778,1.08629,0.02203,0.9478,0.95611,0.98385,0.73315,1.00126,0.40205,0.0215,0.00106417,0.00106417,0.00106417
78,727.18,1.43179,1.04293,0.02261,0.9374,0.94511,0.97128,0.64272,1.23,0.45241,0.02516,0.00105951,0.00105951,0.00105951
